titles,views,dates
How Justin Timberlake Escaped #NippleGate,1.3M views,2 years ago
Who Really Got to the North Pole First?,1.3M views,3 months ago
The Longest Border Fence on Earth (isn’t meant for humans),1.3M views,2 years ago
How Belgian Imperialism Gave Us The COVID Vaccine,1.3M views,2 years ago
Why Indonesia is Always Erupting,1.3M views,2 years ago
How to Remember Your Life,1.2M views,4 years ago
How the US Stole Puerto Rico,1.2M views,2 weeks ago
"The Secret Plan to Invade Cuba, Explained",1.1M views,1 month ago
The FISH & CHIPS Wars: U.K. vs Iceland,1.1M views,2 years ago
VOX BORDERS IS CANCELED,1.1M views,2 years ago
I'm a Journalist Who Hates The News,1.1M views,2 years ago
What Iceland Taught Me About Hot (And Cold) Water,1M views,2 years ago
How I Make My Maps,1M views,2 years ago
How We Mapped the Stars,999K views,3 years ago
I Built My Dream Studio,984K views,4 years ago
"Junk Mail, Explained",978K views,2 years ago
The Native American State That Never Was,951K views,1 month ago
"GAMESTOP DRAMA, EXPLAINED (with Pokémon cards)",923K views,2 years ago
The Guy who Changed the Way we Shop,902K views,1 year ago
How the U.S. Stole an Island,809K views,3 years ago
How I Took a Picture of a Galaxy,784K views,2 years ago
I’m going back to what I do best,774K views,1 year ago
"Why Canada's Mountains Feel Like Switzerland | Banff, Lake Louise, and Sunshine Village",738K views,3 years ago
What People Get Wrong About MASKS,709K views,2 years ago
How I Got My Job at Vox | Lessons About Getting a Job in Video,634K views,4 years ago
7 things I’ve learned about journalism in 7 years of being a journalist,566K views,2 years ago
THE NOSTALGIA THEORY,563K views,2 years ago
Why I Can’t Stop Thinking About This Photo,537K views,4 years ago
YOU WONT VOTE,536K views,2 years ago
My Recipe for Escape | Italy & Switzerland,528K views,3 years ago
Why Everyone is Going to Iceland Lately,526K views,4 years ago
My Favorite Places on Earth in 2019,497K views,3 years ago
The Biggest Project of my Life,485K views,3 years ago
Am I Happy?: Q&A,456K views,2 years ago
I’m starting a new channel,445K views,6 days ago
How to Map a Virus,374K views,3 years ago
The Life Where I Don't Travel,369K views,3 years ago
The 5 Things I Do When I Get to a New City,364K views,4 years ago
I'm Dyslexic,363K views,4 years ago
"You Ask, I Answer | Q&A",329K views,2 years ago
Why Forests Burn,285K views,3 years ago
What's With My Orange Coat,262K views,4 years ago
How I Use Music | Thoughts on the Creative Power of Music,241K views,3 years ago
I Made a Video with The New York Times,236K views,2 years ago
Should You Go to College?,182K views,4 years ago
3 lessons from isolation,151K views,3 years ago
How I Got My Start in Video,133K views,4 years ago
Utah's Best Hike,130K views,4 years ago
